retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
146,1212,65,5591,5595,5586,5586,1139,1190,2114,2854,5473,20167,1279
99,622,62,3581,3794,3866,3866,662,692,1251,1641,3273,12629,745
83,449,49,2453,2528,2554,2554,389,403,739,924,1831,8439,430
70,356,48,2009,2040,2051,2051,285,294,547,641,1198,5120,309
57,282,40,1724,1756,1766,1766,218,224,431,486,906,3386,235
53,267,38,1497,1507,1510,1510,236,243,478,533,945,2372,251
79,327,36,1518,1533,1538,1538,258,270,483,540,852,1992,282
117,658,52,2171,2036,1973,1973,527,553,1132,1603,2810,2985,590
135,730,62,3769,3854,3866,3866,645,675,1324,1933,3514,5547,708
240,1417,92,3749,3754,3740,3740,1195,1252,2254,3498,5802,10186,1329
235,1698,86,5142,5101,5059,5059,1691,1807,3106,5199,8034,17521,1965
428,2228,151,5706,6242,6156,6156,2378,2493,5570,10415,18020,23180,2786
177,1307,68,7283,8013,8024,8024,1542,1672,3585,6636,13285,32076,1924
116,626,42,4318,4827,4980,4980,651,700,1483,2929,6617,16482,818
93,456,40,2353,2422,2446,2446,489,524,1082,1908,3988,7632,586
82,383,38,1942,1968,1978,1978,377,401,839,1365,2850,4882,446
75,301,47,1626,1663,1676,1676,416,446,901,1268,2423,3873,484
92,362,40,1613,1606,1603,1603,284,303,694,956,1915,3431,331
79,387,70,1436,1432,1431,1431,524,564,1161,1510,2538,3072,599
90,598,111,3112,3099,3028,3028,850,930,1978,2631,4098,7723,1002
230,1269,142,4248,4252,4201,4201,1307,1439,3384,4654,7172,10656,1560
206,1431,62,6343,6264,6233,6233,1381,1506,3521,5033,8701,16679,1657
233,1075,65,4520,4693,4753,4753,1345,1454,3002,4258,7614,16748,1591
248,1043,135,5422,5659,5652,5652,1757,1901,3621,4968,8513,21290,2052
119,577,52,4016,4304,4383,4383,978,1064,2119,3311,6734,22611,1205
84,331,44,2210,2287,2317,2317,481,511,906,1316,3025,12126,562
77,276,44,1846,1872,1879,1879,381,405,706,918,1840,6255,433
64,213,40,1581,1606,1614,1614,279,294,533,674,1375,4181,317
50,178,34,1359,1384,1392,1392,210,220,410,501,1055,2905,235
44,152,35,1207,1209,1212,1212,228,246,457,544,1086,2155,262
54,217,41,1323,1259,1241,1241,339,357,630,729,1344,2256,367
164,648,67,1504,1435,1426,1426,732,811,1427,1643,1834,2896,851
502,1549,234,5155,4813,4682,4682,2926,3365,6585,7450,8906,15553,3646
487,1975,103,7850,7589,7507,7507,1917,2140,4418,6671,11036,22654,2464
760,3273,145,9219,9304,9317,9317,2799,3077,6106,8599,13901,25576,3367
324,1701,68,13034,12939,13111,13111,1635,1818,3517,5283,9917,25246,2055
221,1329,112,7136,7926,8133,8133,1154,1301,2425,3378,7094,20732,1467
150,730,74,3499,3650,3706,3706,624,684,1233,1704,3877,13266,756
128,529,53,2589,2665,2695,2695,377,409,755,1005,2233,7072,443
99,430,50,2155,2195,2208,2208,276,298,563,713,1568,3826,322
82,341,45,1820,1851,1862,1862,202,216,425,520,1185,2566,231
69,273,40,1547,1573,1582,1582,166,177,355,411,985,1719,188
85,391,55,1464,1416,1408,1408,273,300,546,611,1288,1541,320
106,560,69,2929,2893,2820,2820,483,550,1066,1298,2396,3766,603
247,1029,69,2944,2915,2928,2928,803,900,1644,2265,3571,6012,993
303,922,82,4451,4659,4666,4666,691,794,1647,2173,3716,7373,898
320,1485,79,4716,4674,4619,4619,870,982,1857,2495,4133,9275,1070
202,1109,96,3461,3623,3678,3678,1366,1531,2954,4111,7308,14375,1683
148,786,54,3784,3985,3990,3990,834,972,1861,3115,7596,16639,1102
110,504,35,2620,2771,2808,2808,378,411,797,1444,3777,13227,474
88,379,34,1742,1775,1787,1787,231,251,489,835,2278,5707,276
74,291,31,1515,1536,1543,1543,168,181,368,584,1613,3399,199
58,230,28,1305,1332,1340,1340,139,149,311,455,1203,2569,162
56,209,31,1076,1093,1100,1100,124,135,290,395,1123,1996,147
69,277,44,1266,1261,1250,1250,207,222,414,581,1173,2349,236
218,787,41,2138,1949,1890,1890,528,563,1075,1507,2129,3558,603
254,1216,61,4127,4148,4109,4109,699,733,1209,1980,3370,6461,786
246,1055,54,4179,4447,4454,4454,966,995,1423,2417,4199,10746,1044
414,1442,38,4156,4207,4200,4200,1037,1067,1426,2131,3414,14125,1113
399,1385,98,4439,4757,4774,4774,1332,1371,1992,2754,4243,13093,1432
305,1433,40,4855,4990,4972,4972,1152,1201,1943,3142,5727,17253,1301
161,642,32,2522,2747,2823,2823,533,553,831,1400,3711,11885,612
124,479,26,1846,1888,1901,1901,421,433,595,896,2193,6477,449
98,378,24,1487,1515,1525,1525,302,309,439,623,1456,3501,325
82,304,22,1276,1295,1302,1302,240,246,355,476,1080,2250,257
69,251,21,1103,1123,1129,1129,234,239,330,413,894,1602,251
71,274,24,1027,1025,1025,1025,207,213,347,427,1121,1472,220
56,268,25,942,967,975,975,230,236,357,437,1041,1715,238
143,542,53,1641,1461,1405,1405,663,716,1433,2017,2777,3917,764
267,989,48,3310,3280,3262,3262,434,530,1168,1756,2998,9216,597
449,2030,46,4717,4649,4574,4574,621,697,1441,1893,2740,7738,747
413,2716,93,5792,5904,5873,5873,1697,1879,4149,5480,7229,16885,2057
