Unnamed: 0,retirobaixo,tresmarias,queimado,peixeangelical,serradamesa,sobradinho,itaparica,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
23,241.59,19528.0,557.0,2741.0,48761.54888352657,30401.59821028508,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
24,241.59,19528.0,557.0,2741.0,50936.27202449573,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
25,241.59,19528.0,557.0,2741.0,52851.830405903165,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
26,241.59,19528.0,557.0,2741.0,54357.10276417811,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
27,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
28,241.59,19528.0,557.0,2741.0,53925.353424326895,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
29,241.59,19336.04082033131,557.0,2741.0,53094.899674331966,33556.77121081775,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
30,241.59,19036.45084433217,557.0,2741.0,51975.22988420448,31800.59615758206,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
31,241.59,18645.3415628022,557.0,2741.0,50705.12061566526,29093.3994542602,10782.0,47847.930316919774,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
32,241.59,18245.35395444655,553.3888422142803,2741.0,49554.86554377387,25815.13093676284,10782.0,43358.171306037824,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
33,241.59,18164.905996866528,557.0,2741.0,48886.27807293936,23399.9792039142,10782.0,38329.65102571704,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
34,241.59,18403.44581203156,557.0,2741.0,49376.19377776405,23602.224893152048,10782.0,41407.748483943105,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
35,241.59,19528.0,557.0,2741.0,51666.89415077007,30007.525392241256,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
36,241.59,19528.0,557.0,2741.0,53965.43959873269,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
37,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
38,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
39,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
40,241.59,19313.07656433131,557.0,2741.0,53700.367824326895,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
41,241.59,18896.20233424511,556.8210369374953,2741.0,52704.460635742245,33064.29121081775,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
42,241.59,18388.875275727707,550.8901697378017,2741.0,51475.877710725625,30638.83001630458,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
43,241.59,17835.889574643217,539.532853747825,2741.0,50107.90745358319,27486.76911523212,10782.0,47566.69831691977,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
44,241.59,17383.3922348469,533.6123345000635,2741.0,49039.65432502239,23944.768847434167,10782.0,41363.94111921442,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
45,241.59,16854.450881224035,530.0997800092238,2741.0,47879.04777990663,20728.6194089895,10782.0,36908.83711828684,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
46,241.59,16840.32582741032,557.0,2741.0,47592.54098677554,18677.203752068224,10782.0,32773.46143405052,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
47,241.59,17487.026377436254,557.0,2741.0,48063.59853938518,20554.221342865065,10782.0,39588.24399109711,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
48,241.59,19528.0,557.0,2741.0,50592.36006599573,32506.164468772426,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
49,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
50,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
51,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
52,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
53,241.59,19528.0,557.0,2741.0,54400.0,34116.0,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
54,241.59,19525.21285447895,557.0,2741.0,53946.87230361127,33172.593244239724,10782.0,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
