retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,saosalvador,peixeangelical,lajeado,estreito,tucurui
195,1100,157,3103,3165,3106,3106,1825,2010,2158,3331,4393,6420,14993
249,1377,146,4739,4872,4757,4757,3665,4093,4461,7270,9582,12077,27636
301,1349,105,5500,6516,6548,6548,3827,4247,4828,8264,12273,17227,36894
136,530,52,4297,4960,5086,5086,1641,1849,2142,3395,5721,10561,31303
104,367,47,1914,2096,2139,2139,1066,1186,1304,1921,3029,5247,15938
86,269,43,1416,1479,1496,1496,745,827,908,1377,2019,3304,9032
73,218,41,1187,1205,1211,1211,547,602,659,1022,1426,2344,6086
59,184,39,1055,1076,1082,1082,437,476,517,810,1087,1809,4609
62,177,41,861,873,879,879,517,563,606,922,1131,1791,3542
89,272,48,926,920,918,918,551,606,661,1075,1257,1892,3947
256,1043,77,2138,1802,1700,1700,875,961,1047,1905,2513,3809,6948
319,1321,95,3793,4134,4189,4189,1206,1346,1495,2582,3640,5667,12581
364,1820,80,5004,4946,4857,4857,1436,1588,1716,2638,3848,6241,17835
193,905,42,4423,4848,4930,4930,1609,1743,1894,3067,4268,6723,18794
221,924,87,4132,4671,4864,4864,1783,1912,2071,3516,4885,7638,20709
217,1158,79,4791,4903,4862,4862,1324,1419,1583,2834,4394,7003,23171
118,515,34,2721,3113,3234,3234,467,489,562,941,1598,3150,13461
101,342,33,1658,1711,1725,1725,350,369,399,665,987,1742,6768
96,295,38,1423,1433,1437,1437,283,296,318,551,766,1350,4394
76,220,29,1260,1294,1305,1305,194,201,217,395,536,1023,3390
87,220,36,1022,1027,1030,1030,260,272,282,462,557,903,2216
88,304,54,1137,1087,1079,1079,437,467,505,938,1401,2392,2956
98,361,58,1670,1636,1609,1609,649,897,761,1345,2118,3962,7284
280,1097,82,2315,2321,2305,2305,864,948,1034,1860,2752,4925,11802
363,1595,99,4624,4502,4410,4410,1096,1236,1378,2677,3698,5802,17833
192,896,126,4420,4742,4819,4819,1762,1994,2214,4927,6375,9087,25025
259,1276,51,5277,5290,5217,5217,1582,1783,1918,3539,4846,7814,35058
139,674,70,3360,3711,3810,3810,1073,1181,1322,2313,3095,5536,24601
107,397,40,2274,2411,2442,2442,445,480,542,998,1360,2814,15899
85,297,38,1547,1583,1595,1595,313,336,366,684,837,1532,8811
74,236,35,1300,1323,1331,1331,231,246,269,523,622,1124,5562
60,190,31,1117,1135,1142,1142,171,182,194,392,439,791,3998
64,211,52,1024,1020,1018,1018,477,519,547,1012,1080,1575,2880
102,304,34,1324,1308,1300,1300,492,538,579,1066,1223,1882,5642
174,827,90,2274,2045,1986,1986,811,890,954,1792,2275,3413,7847
331,1603,182,5170,5173,5082,5082,1700,1882,2022,4076,5331,7438,18128
651,3257,206,6185,6306,6287,6287,3173,3497,3858,8069,11869,15826,35804
420,1853,95,9469,9340,9206,9206,2566,2876,3261,6658,9984,15426,44250
604,1590,193,7966,8616,8744,8744,2579,2828,3128,6226,9387,15261,35691
213,885,94,5097,5555,5632,5632,1563,1694,1910,3547,5916,10134,33234
149,613,66,2881,3032,3083,3083,671,727,821,1588,2554,4765,21110
126,474,64,2113,2158,2174,2174,512,553,599,1195,1748,3035,10195
98,400,59,1774,1808,1820,1820,379,407,443,910,1269,2221,7063
96,346,52,1522,1539,1545,1545,290,309,334,709,936,1650,5452
86,294,47,1290,1319,1329,1329,300,320,338,694,844,1510,3424
101,378,63,1394,1343,1329,1329,487,535,576,1111,1389,2058,4706
99,684,126,2205,2071,2042,2042,1044,1153,1245,2372,2896,3817,8374
