qnat,evap,conversor
17468,5,2.5056
6170,4,2.6784
5827,-2,2.592
3698,2,2.6784
2136,29,2.592
1688,52,2.6784
1384,72,2.6784
1356,75,2.592
1629,69,2.6784
3120,41,2.592
8117,29,2.6784
6760,12,2.6784
6652,5,2.4192
5955,4,2.6784
4521,-2,2.592
2972,2,2.6784
1835,29,2.592
1427,52,2.6784
1171,72,2.6784
1121,75,2.592
1456,69,2.6784
1487,41,2.592
2952,29,2.6784
6999,12,2.6784
6258,5,2.4192
10521,4,2.6784
7705,-2,2.592
3284,2,2.6784
2357,29,2.592
1826,52,2.6784
1358,72,2.6784
1136,75,2.592
1158,69,2.6784
1658,41,2.592
3372,29,2.6784
5235,12,2.6784
7047,5,2.4192
5769,4,2.6784
8693,-2,2.592
6275,2,2.6784
3073,29,2.592
2024,52,2.6784
1499,72,2.6784
1174,75,2.592
1263,69,2.6784
1982,41,2.592
4912,29,2.6784
5969,12,2.6784
4128,5,2.5056
5366,4,2.6784
5634,-2,2.592
3612,2,2.6784
2081,29,2.592
1455,52,2.6784
1152,72,2.6784
940,75,2.592
1337,69,2.6784
2327,41,2.592
2912,29,2.6784
6982,12,2.6784
6231,5,2.4192
10961,4,2.6784
11641,-2,2.592
5765,2,2.6784
2965,29,2.592
2084,52,2.6784
1555,72,2.6784
1371,75,2.592
1478,69,2.6784
1765,41,2.592
3137,29,2.6784
3925,12,2.6784
5409,5,2.4192
5650,4,2.6784
2951,-2,2.592
2028,2,2.6784
1271,29,2.592
955,52,2.6784
764,72,2.6784
763,75,2.592
833,69,2.6784
2074,41,2.592
3737,29,2.6784
4685,12,2.6784
3163,5,2.4192
6317,4,2.6784
2871,-2,2.592
2255,2,2.6784
1309,29,2.592
970,52,2.6784
764,72,2.6784
779,75,2.592
870,69,2.6784
2858,41,2.592
6784,29,2.6784
9561,12,2.6784
9047,5,2.5056
10180,4,2.6784
6142,-2,2.592
3374,2,2.6784
2087,29,2.592
1608,52,2.6784
1276,72,2.6784
1311,75,2.592
1211,69,2.6784
2781,41,2.592
6810,29,2.6784
4301,12,2.6784
4049,5,2.4192
6546,4,2.6784
4956,-2,2.592
2755,2,2.6784
1878,29,2.592
1386,52,2.6784
1118,72,2.6784
999,75,2.592
1503,69,2.6784
2323,41,2.592
4770,29,2.6784
13496,12,2.6784
8812,5,2.4192
4903,4,2.6784
5645,-2,2.592
3030,2,2.6784
1823,29,2.592
1082,52,2.6784
733,72,2.6784
790,75,2.592
868,69,2.6784
1423,41,2.592
2207,29,2.6784
5057,12,2.6784
6316,5,2.4192
7135,4,2.6784
7960,-2,2.592
3344,2,2.6784
1841,29,2.592
1124,52,2.6784
823,72,2.6784
678,75,2.592
697,69,2.6784
1351,41,2.592
1592,29,2.6784
5566,12,2.6784
14799,5,2.5056
13651,4,2.6784
10629,-2,2.592
5360,2,2.6784
2373,29,2.592
1499,52,2.6784
1069,72,2.6784
868,75,2.592
964,69,2.6784
1408,41,2.592
2315,29,2.6784
4141,12,2.6784
7420,5,2.4192
11046,4,2.6784
7983,-2,2.592
5001,2,2.6784
2167,29,2.592
1276,52,2.6784
868,72,2.6784
680,75,2.592
728,69,2.6784
1293,41,2.592
5040,29,2.6784
6180,12,2.6784
5118,5,2.4192
7458,4,2.6784
10695,-2,2.592
7039,2,2.6784
2756,29,2.592
1451,52,2.6784
973,72,2.6784
878,75,2.592
1323,69,2.6784
2420,41,2.592
3043,29,2.6784
3952,12,2.6784
9902,5,2.4192
8136,4,2.6784
5718,-2,2.592
3060,2,2.6784
1519,29,2.592
998,52,2.6784
729,72,2.6784
608,75,2.592
626,69,2.6784
911,41,2.592
1910,29,2.6784
2918,12,2.6784
6945,5,2.5056
9107,4,2.6784
9621,-2,2.592
5942,2,2.6784
2323,29,2.592
1246,52,2.6784
806,72,2.6784
640,75,2.592
664,69,2.6784
1328,41,2.592
4837,29,2.6784
4856,12,2.6784
6065,5,2.4192
6382,4,2.6784
8420,-2,2.592
8903,2,2.6784
3814,29,2.592
1739,52,2.6784
1055,72,2.6784
968,75,2.592
1404,69,2.6784
3063,41,2.592
4257,29,2.6784
7257,12,2.6784
4930,5,2.4192
5900,4,2.6784
6301,-2,2.592
2427,2,2.6784
1565,29,2.592
1230,52,2.6784
993,72,2.6784
851,75,2.592
1109,69,2.6784
2288,41,2.592
3882,29,2.6784
8035,12,2.6784
7511,5,2.4192
11037,4,2.6784
8642,-2,2.592
3654,2,2.6784
2164,29,2.592
1546,52,2.6784
1162,72,2.6784
926,75,2.592
1476,69,2.6784
2723,41,2.592
5536,29,2.6784
9800,12,2.6784
8121,5,2.5056
6843,4,2.6784
4173,-2,2.592
2530,2,2.6784
1729,29,2.592
1249,52,2.6784
953,72,2.6784
887,75,2.592
