bhsf,bhtoc
16748.21091537721,18327.97088133548
8331.585151148354,14824.2949301944
4815.438488332404,9257.895970656247
3445.0161296392134,4757.016038309813
2964.68006379452,2943.898371465289
2703.139308979172,2130.0404399266386
2158.282786264646,1603.9647772190663
2464.657740034018,2597.949423902631
7457.926513727569,4986.874365693306
11915.92257813533,9105.491277372863
15167.342961123843,9677.416705847128
15059.693289326844,12340.007811031997
16206.448185274188,16313.833612617796
17605.97100947615,20226.960035651588
8916.3542485634,12749.129450377022
5474.822054704562,6022.353668262976
4398.416815120381,3485.752208048269
3720.0501439348945,2509.932570221353
3094.7383311563417,2004.5712359663448
3899.6826023890417,3129.1320040364
7381.92704881383,4965.5643606186995
11905.39233879876,8367.104248764002
12783.855383195223,10935.612427254371
17793.857444930734,22770.421985980996
19298.855042966738,20333.542357781684
13998.142198177899,15731.879009597
7890.217864784382,9214.020856164032
5686.661241743015,5205.795531209241
4533.374534366987,3264.17563208143
3999.623775046062,2377.445388491178
3436.4860767475852,1978.4011008869986
3439.8172628687716,2515.557572261746
5345.440328828599,3343.67251317418
7315.970339601101,5784.977332479743
14719.900714070944,8442.247462863292
13802.078327624244,11424.476795261875
12768.123409896563,14800.631240272744
12762.113339899806,15425.794467726344
8034.108047726908,9854.494195143181
4579.7756640694715,4921.705269959586
3828.782728480718,2952.2542984058446
3318.7750176251548,2143.366114345579
2847.51949359215,1754.5350371362865
2617.0935453777633,1828.7585019168255
4551.016779373812,3633.3029882519077
11026.793115909695,6182.737353812126
15665.54192619647,8834.031726535306
13860.68441805907,13108.165643053399
19006.949836750744,26196.24764199814
15626.773462158366,16890.57632667414
7114.720626370125,10321.317611678382
4805.796038828624,5202.447035319878
4162.524584662902,3156.854716128486
3774.7015473340425,2323.581958685033
3594.181898081961,2035.6315546380924
3533.2296626443085,2239.774642536492
4860.623471312678,4650.695065096434
12319.030113684032,13755.342492066917
9056.996080853554,10705.433025359776
11754.40307874599,15373.209182481507
12368.233883601697,17125.26489066019
7643.917723876696,12563.18160629082
4809.347549964033,7600.506665436194
3637.9702654689836,4006.57562881089
3207.651469097178,2709.660755721902
2846.942557276025,2004.307417735401
2435.784475011785,1753.3379289874742
2545.3356142700236,1922.3677742639934
6735.854769905869,4111.183648089809
14011.84557552683,9005.21523247218
17576.348557819467,16669.237478471565
18176.908525897852,18251.246096451086
14608.065714071987,23229.460826297935
7671.712524491976,15596.15093270903
5784.277103076352,9781.4961352362
4160.357282416476,4580.734980693482
3667.091441546946,3007.808126311741
3202.707627491076,2266.8414553770817
3081.836621410267,2004.7459299837774
4317.24202158163,2735.125770464432
7860.723954539084,5307.434896753013
8089.397604489101,4812.245688413894
4880.818893121706,4646.909757988753
4170.7950486657255,6133.174864731553
5005.562091542667,8245.37679971232
4792.044394500907,11251.597915386084
3511.856621602017,7132.342046596128
2562.6688499481097,3496.6875405425494
2349.5942724751258,2259.9150724743663
2116.7023316081027,1781.303607598722
2117.325743090709,1613.3821416023554
3096.909361319647,2323.23347406437
6375.401051899675,6072.6326367062875
17686.393341619205,9270.023574703722
15397.350081797682,8127.626399972355
8385.792760717486,10575.488473639678
9838.26965880323,14051.832173992538
8666.042406407058,13099.159676195086
5768.206558955473,6679.57485007504
3701.109098617957,3558.2067624826186
3260.9154042472182,2407.921238971856
3064.9374843935134,1954.1024731393659
2515.7151019475687,1718.0084964374885
3781.323515335328,2399.7990510882933
5624.611165242028,3527.0676695503266
11250.186028917266,8411.826726882668
13406.931498788366,11087.33426640269
11138.529992810192,10499.699128466267
10736.157417932085,15679.562113816693
13376.31526468733,18311.335913478215
6495.719687587337,10533.760933469748
4296.402120947627,5041.058312945828
3656.375111515038,3348.013912913714
2986.851072317837,2526.2771878134517
2454.361888021294,1932.6687672662438
3565.30730703281,3718.0884576331846
9163.928817744196,6173.266017788207
12711.659202965973,10017.92363603234
13444.229514294828,10499.16619538354
10444.48420959459,14897.927000556692
12242.116623434758,23649.140183623917
17544.87157151464,25347.695172892945
9664.92664129715,20208.982215638334
5137.120681618759,9364.171915549814
4084.469295923607,4741.108374498577
3602.9744350664373,3277.3237195003344
3161.3769586605927,2725.0059312591225
3084.4475333202017,3140.4552777009603
5174.554790806482,4551.811588562947
7024.436685427386,6759.525515435
12393.483580829507,9346.612484221978
11856.097146712296,15524.343191577052
8120.049298756802,14206.943217142698
6995.152215122329,17372.28136273732
6177.7665710823385,12655.910288224351
3680.1236168552578,5734.15622293268
3680.885205553952,3636.902938374139
2830.4793166371346,2569.844762759217
2358.7781986373234,2033.2078306854642
2634.8751916761375,2527.8197105117683
6482.359938540658,4266.03774944549
8084.32119326013,5406.658259750566
6007.838064658421,6481.6675717897715
5633.370370496166,10187.270717406413
6199.135831820445,12823.755598363146
5229.31695223754,11422.767879234965
3057.963693718929,7343.4293221259495
2957.2763418571903,4166.0719451641025
2351.723208011507,2667.9494855579887
