qnat,evap,conversor
4446,8,2.4192
1983,18,2.6784
1621,27,2.592
949,49,2.6784
721,62,2.592
578,71,2.6784
470,80,2.6784
428,97,2.592
531,60,2.6784
804,47,2.592
1553,36,2.6784
1165,31,2.6784
885,8,2.5056
1036,18,2.6784
1172,27,2.592
644,49,2.6784
466,62,2.592
374,71,2.6784
316,80,2.6784
339,97,2.592
437,60,2.6784
430,47,2.592
627,36,2.6784
3080,31,2.6784
2394,8,2.4192
1737,18,2.6784
1396,27,2.592
868,49,2.6784
629,62,2.592
496,71,2.6784
403,80,2.6784
341,97,2.592
469,60,2.6784
618,47,2.592
1868,36,2.6784
2161,31,2.6784
1668,8,2.4192
1250,18,2.6784
885,27,2.592
640,49,2.6784
472,62,2.592
385,71,2.6784
346,80,2.6784
290,97,2.592
373,60,2.6784
386,47,2.592
584,36,2.6784
844,31,2.6784
703,8,2.4192
1233,18,2.6784
863,27,2.592
555,49,2.6784
383,62,2.592
286,71,2.6784
224,80,2.6784
203,97,2.592
312,60,2.6784
557,47,2.592
1361,36,2.6784
1124,31,2.6784
1370,8,2.5056
2158,18,2.6784
1163,27,2.592
726,49,2.6784
568,62,2.592
431,71,2.6784
346,80,2.6784
281,97,2.592
447,60,2.6784
595,47,2.592
1090,36,2.6784
1071,31,2.6784
990,8,2.4192
908,18,2.6784
630,27,2.592
469,49,2.6784
350,62,2.592
293,71,2.6784
257,80,2.6784
254,97,2.592
324,60,2.6784
807,47,2.592
4275,36,2.6784
2554,31,2.6784
1590,8,2.4192
1433,18,2.6784
1009,27,2.592
800,49,2.6784
560,62,2.592
470,71,2.6784
374,80,2.6784
410,97,2.592
415,60,2.6784
477,47,2.592
612,36,2.6784
1190,31,2.6784
1278,8,2.4192
1969,18,2.6784
1654,27,2.592
809,49,2.6784
569,62,2.592
444,71,2.6784
359,80,2.6784
322,97,2.592
373,60,2.6784
512,47,2.592
731,36,2.6784
1703,31,2.6784
3615,8,2.5056
1454,18,2.6784
1265,27,2.592
841,49,2.6784
601,62,2.592
477,71,2.6784
389,80,2.6784
396,97,2.592
571,60,2.6784
1041,47,2.592
2327,36,2.6784
1537,31,2.6784
1718,8,2.4192
1184,18,2.6784
886,27,2.592
625,49,2.6784
474,62,2.592
378,71,2.6784
324,80,2.6784
318,97,2.592
359,60,2.6784
328,47,2.592
918,36,2.6784
1310,31,2.6784
1057,8,2.4192
2291,18,2.6784
1295,27,2.592
725,49,2.6784
542,62,2.592
436,71,2.6784
341,80,2.6784
269,97,2.592
279,60,2.6784
519,47,2.592
864,36,2.6784
1154,31,2.6784
1504,8,2.4192
1107,18,2.6784
1354,27,2.592
862,49,2.6784
559,62,2.592
424,71,2.6784
327,80,2.6784
268,97,2.592
299,60,2.6784
495,47,2.592
1187,36,2.6784
1100,31,2.6784
777,8,2.5056
983,18,2.6784
747,27,2.592
508,49,2.6784
374,62,2.592
290,71,2.6784
246,80,2.6784
204,97,2.592
306,60,2.6784
492,47,2.592
537,36,2.6784
1658,31,2.6784
1059,8,2.4192
2622,18,2.6784
1962,27,2.592
958,49,2.6784
635,62,2.592
468,71,2.6784
337,80,2.6784
340,97,2.592
377,60,2.6784
447,47,2.592
799,36,2.6784
991,31,2.6784
1384,8,2.4192
991,18,2.6784
508,27,2.592
344,49,2.6784
301,62,2.592
229,71,2.6784
178,80,2.6784
180,97,2.592
197,60,2.6784
680,47,2.592
959,36,2.6784
794,31,2.6784
702,8,2.4192
1074,18,2.6784
395,27,2.592
263,49,2.6784
193,62,2.592
146,71,2.6784
136,80,2.6784
171,97,2.592
191,60,2.6784
689,47,2.592
1541,36,2.6784
2039,31,2.6784
1958,8,2.5056
1982,18,2.6784
943,27,2.592
474,49,2.6784
373,62,2.592
320,71,2.6784
249,80,2.6784
244,97,2.592
213,60,2.6784
759,47,2.592
1416,36,2.6784
881,8,2.6784
699,18,2.4192
1147,27,2.6784
615,49,2.592
362,62,2.6784
275,71,2.592
207,80,2.6784
162,97,2.6784
167,60,2.592
365,47,2.6784
642,36,2.592
1102,8,2.6784
2551,18,2.6784
1956,27,2.4192
1132,49,2.6784
756,62,2.592
454,71,2.6784
331,80,2.592
265,97,2.6784
184,60,2.6784
191,47,2.592
159,36,2.6784
357,8,2.592
647,18,2.6784
1319,27,2.6784
1188,49,2.4192
1276,62,2.6784
1095,71,2.592
485,80,2.6784
330,97,2.592
231,60,2.6784
154,47,2.6784
185,36,2.592
158,31,2.6784
311,8,2.592
381,18,2.6784
1427,27,2.6784
3354,49,2.5056
2183,62,2.6784
1504,71,2.592
746,80,2.6784
489,97,2.592
351,60,2.6784
252,47,2.6784
221,36,2.592
271,31,2.6784
360,8,2.592
543,18,2.6784
1072,27,2.6784
1525,49,2.4192
1874,62,2.6784
964,71,2.592
535,80,2.6784
339,97,2.592
264,60,2.6784
209,47,2.6784
155,36,2.592
128,31,2.6784
429,8,2.592
1393,18,2.6784
847,27,2.6784
872,49,2.4192
1374,62,2.6784
1259,71,2.592
562,80,2.6784
350,97,2.592
255,60,2.6784
214,47,2.6784
190,36,2.592
448,31,2.6784
680,8,2.592
931,18,2.6784
1235,27,2.6784
2650,49,2.4192
1109,62,2.6784
700,71,2.592
425,80,2.6784
287,97,2.592
241,60,2.6784
178,47,2.6784
142,36,2.592
116,31,2.6784
329,8,2.592
593,18,2.6784
620,27,2.6784
1350,49,2.5056
1949,62,2.6784
1239,71,2.592
539,80,2.6784
356,97,2.592
258,60,2.6784
182,47,2.6784
117,36,2.592
106,31,2.6784
430,8,2.592
1399,18,2.6784
1326,27,2.6784
1239,49,2.4192
920,62,2.6784
1455,71,2.592
779,80,2.6784
464,97,2.592
310,60,2.6784
239,47,2.6784
258,36,2.592
560,31,2.6784
811,8,2.592
1350,18,2.6784
1613,27,2.6784
838,49,2.4192
1163,62,2.6784
864,71,2.592
330,80,2.6784
241,97,2.592
197,60,2.6784
159,47,2.6784
116,36,2.592
223,31,2.6784
692,8,2.592
1195,18,2.6784
2614,27,2.6784
1447,49,2.4192
2353,62,2.6784
1326,71,2.592
639,80,2.6784
455,97,2.592
345,60,2.6784
204,47,2.6784
135,36,2.592
334,31,2.6784
730,8,2.592
1488,18,2.6784
2417,27,2.6784
1637,49,2.5056
1088,62,2.6784
704,71,2.592
422,80,2.6784
348,97,2.592
239,60,2.6784
143,47,2.6784
159,36,2.592
255,31,2.6784
608,31,2.592
643,8,2.6784
1474,18,2.6784
1262,27,2.4192
1014,49,2.6784
988,62,2.592
452,71,2.6784
427,80,2.592
273,97,2.6784
186,60,2.6784
128,47,2.592
239,36,2.6784
332,31,2.592
1256,8,2.6784
867,18,2.6784
945,27,2.4192
1416,49,2.6784
1191,62,2.592
590,71,2.6784
357,80,2.592
252,97,2.6784
161,60,2.6784
140,47,2.592
137,36,2.6784
407,31,2.592
944,8,2.6784
399,18,2.6784
898,27,2.4192
1028,49,2.6784
979,62,2.592
677,71,2.6784
365,80,2.592
257,97,2.6784
169,60,2.6784
126,47,2.592
118,36,2.6784
179,31,2.592
244,8,2.6784
1627,18,2.6784
961,27,2.5056
788,49,2.6784
347,62,2.592
249,71,2.6784
178,80,2.592
124,97,2.6784
149,60,2.6784
104,47,2.592
165,36,2.6784
405,31,2.592
474,8,2.6784
375,18,2.6784
809,27,2.4192
590,49,2.6784
548,62,2.592
284,71,2.6784
170,80,2.592
119,97,2.6784
99,60,2.6784
103,47,2.592
128,36,2.6784
272,31,2.592
881,8,2.6784
651,18,2.6784
1121,27,2.4192
1122,49,2.6784
858,62,2.592
369,71,2.6784
251,80,2.592
183,97,2.6784
142,60,2.6784
123,47,2.592
209,36,2.6784
546,31,2.592
827,8,2.6784
450,18,2.6784
554,27,2.4192
983,49,2.6784
1040,62,2.592
458,71,2.6784
277,80,2.592
197,97,2.6784
149,60,2.6784
105,47,2.592
126,36,2.6784
206,31,2.592
303,8,2.6784
848,18,2.6784
1476,27,2.5056
2024,49,2.6784
1419,62,2.592
671,71,2.6784
417,80,2.592
292,97,2.6784
216,60,2.6784
154,47,2.592
186,36,2.6784
447,31,2.592
420,8,2.6784
