,retirobaixo,tresmarias,queimado,sobradinho,itaparica,peixeangelical,serradamesa,tucurui,pamx,xingo,canabrava,saosalvador,estreito,lajeado
261,241.59,17328.644563388847,301.21900279974125,25000.92711500247,10782.0,2659.127529382834,33691.69677925322,20733.86873014176,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
262,241.59,17466.18000174469,381.4921138551001,24034.56084789292,10782.0,2741.0,32799.963493262985,13628.382790812157,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
263,241.59,18242.641169416853,510.5348780529116,27470.956361200944,10782.0,2741.0,33641.288181925986,17188.03516697947,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
264,241.59,17847.010428133493,552.6359176543291,31472.352010098628,10782.0,2741.0,33003.43599234158,32860.956722472976,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
265,241.59,17887.48832340733,557.0,30919.299649126115,10782.0,2741.0,32575.62758008989,38510.44212229362,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
266,241.59,18453.9586127262,557.0,32934.084678130275,10782.0,2741.0,32942.69815870469,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
267,241.59,19030.282138877184,557.0,34116.0,10782.0,2741.0,33267.03672267954,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
268,241.59,18566.84613181685,542.1595551330319,33904.625136156974,10782.0,2741.0,32360.985573321937,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
269,241.59,17840.282934230785,529.5176219395797,32081.90956141786,10782.0,2741.0,31218.776451650287,47904.96002290898,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
270,241.59,16946.735928706566,513.5795466538193,29453.15905353486,10782.0,2741.0,29879.36381634563,41014.69327361451,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
271,241.59,15962.508164068768,492.3428831788125,26362.18043811068,10548.71703644221,2631.063699018691,28451.85456553291,32448.19106649129,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
272,241.59,15008.2875559278,484.7443244670049,23006.314300961927,9965.4888573948,2492.766391101662,27009.69686195136,23413.42528453281,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
273,241.59,14249.539592004816,479.2479328348354,20350.128265211253,9926.502027187124,2741.0,26001.86323694457,16633.292278288543,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
274,241.59,14291.666456472729,557.0,18532.596098800943,10782.0,2741.0,25435.16842819366,13450.866975232882,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
275,241.59,15652.68177150551,557.0,21543.19457589748,10782.0,2741.0,26419.2621756638,18116.952450761277,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
276,241.59,15672.076591389648,557.0,27897.72759214841,10782.0,2741.0,26792.218051150583,41264.30815580621,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
277,241.59,16126.025268515968,557.0,29771.24462248652,10782.0,2741.0,28625.57961275335,50275.0,1226.0,3800.0,2300.0,952.0,5400.0,4940.0
